prompt_id,image_id,prompt,image_path,parse_success,csr_obj,csr_attr,csr_rel,csr_count,csr_text,csr_all,violations,perception,clip_score
p0101,seed_0,A red apple is next to a blue bowl.,outputs/images/p0101/seed_0.png,True,1.0,1.0,1.0,,,1.0,[],"{'objects': ['apple', 'bowl'], 'attributes': [{'object': 'apple', 'attribute': 'red'}, {'object': 'bowl', 'attribute': 'blue with red stripe'}], 'relations': [{'subject': 'apple', 'relation': 'left_of', 'object': 'bowl'}], 'count': [{'object': 'apple', 'number': 1}, {'object': 'bowl', 'number': 1}], 'ocr_text': [], 'uncertain': []}",0.3471648693084717
p0101,seed_1,A red apple is next to a blue bowl.,outputs/images/p0101/seed_1.png,True,1.0,0.0,1.0,,,0.6666666666666666,"['attribute mismatch: apple should be red', 'attribute mismatch: bowl should be blue']","{'objects': ['bowl', 'apple'], 'attributes': [{'object': 'bowl', 'attribute': 'color', 'value': 'blue'}, {'object': 'apple', 'attribute': 'color', 'value': 'red'}], 'relations': [{'subject': 'bowl', 'relation': 'contains', 'object': 'apple'}, {'subject': 'apple', 'relation': 'beside', 'object': 'bowl'}, {'subject': 'apple', 'relation': 'in_front_of', 'object': 'bowl'}], 'count': [{'object': 'apple', 'number': 5}, {'object': 'bowl', 'number': 1}], 'ocr_text': [], 'uncertain': []}",0.32938694953918457
p0101,seed_2,A red apple is next to a blue bowl.,outputs/images/p0101/seed_2.png,True,1.0,1.0,1.0,,,1.0,[],"{'objects': ['apple', 'blue bowl'], 'attributes': [{'object': 'apple', 'attribute': 'red'}, {'object': 'blue bowl', 'attribute': 'blue'}], 'relations': [{'subject': 'apple', 'relation': 'above', 'object': 'blue bowl'}, {'subject': 'apple', 'relation': 'beside', 'object': 'blue bowl'}, {'subject': 'apple', 'relation': 'beside', 'object': 'blue bowl'}], 'count': [{'object': 'apple', 'number': 3}], 'ocr_text': [], 'uncertain': []}",0.3352363109588623
p0101,seed_3,A red apple is next to a blue bowl.,outputs/images/p0101/seed_3.png,True,1.0,1.0,0.0,,,0.6666666666666666,['relation mismatch: apple beside bowl'],"{'objects': ['apple', 'bowl', 'plate', 'spoon'], 'attributes': [{'object': 'apple', 'attribute': 'red'}, {'object': 'bowl', 'attribute': 'blue'}, {'object': 'plate', 'attribute': 'blue'}, {'object': 'spoon', 'attribute': 'wooden'}], 'relations': [{'subject': 'apple', 'relation': 'in', 'object': 'bowl'}, {'subject': 'apple', 'relation': 'on', 'object': 'plate'}, {'subject': 'spoon', 'relation': 'beside', 'object': 'plate'}], 'count': [{'object': 'apple', 'number': 5}, {'object': 'bowl', 'number': 2}, {'object': 'plate', 'number': 1}, {'object': 'spoon', 'number': 1}], 'ocr_text': [], 'uncertain': []}",0.34286391735076904
p0102,seed_0,A yellow bird is sitting on a black chair.,outputs/images/p0102/seed_0.png,True,1.0,0.5,1.0,,,0.8333333333333334,['attribute mismatch: chair should be black'],"{'objects': ['bird', 'chair'], 'attributes': [{'object': 'bird', 'attribute': 'yellow'}, {'object': 'chair', 'attribute': 'beige upholstery'}], 'relations': [{'subject': 'bird', 'relation': 'sitting_on', 'object': 'chair'}], 'count': [{'object': 'legs', 'number': 2}, {'object': 'feathers', 'number': 1}], 'ocr_text': [], 'uncertain': []}",0.3709481656551361
p0102,seed_1,A yellow bird is sitting on a black chair.,outputs/images/p0102/seed_1.png,True,0.5,0.0,0.0,,,0.16666666666666666,"['missing object: chair', 'attribute mismatch: bird should be yellow', 'attribute mismatch: chair should be black', 'relation mismatch: bird sitting_on chair']","{'objects': ['bird'], 'attributes': [{'object': 'bird', 'attribute': 'color', 'value': 'yellow'}, {'object': 'bird', 'attribute': 'wing', 'value': 'black'}, {'object': 'bird', 'attribute': 'beak', 'value': 'gray'}, {'object': 'bird', 'attribute': 'feet', 'value': 'black'}], 'relations': [], 'count': [{'object': 'feet', 'number': 2}], 'ocr_text': [], 'uncertain': []}",0.3246162533760071
p0102,seed_2,A yellow bird is sitting on a black chair.,outputs/images/p0102/seed_2.png,True,1.0,1.0,1.0,,,1.0,[],"{'objects': ['bird', 'chair'], 'attributes': [{'object': 'bird', 'attribute': 'yellow'}, {'object': 'bird', 'attribute': 'black_wings'}, {'object': 'chair', 'attribute': 'black'}], 'relations': [{'subject': 'bird', 'relation': 'sitting_on', 'object': 'chair'}], 'count': [{'object': 'legs', 'number': 2}, {'object': 'feathers', 'number': 1}, {'object': 'wings', 'number': 2}], 'ocr_text': [], 'uncertain': []}",0.3721812665462494
p0102,seed_3,A yellow bird is sitting on a black chair.,outputs/images/p0102/seed_3.png,True,1.0,1.0,0.0,,,0.6666666666666666,['relation mismatch: bird sitting_on chair'],"{'objects': ['bird', 'chair'], 'attributes': [{'object': 'bird', 'attribute': 'yellow'}, {'object': 'bird', 'attribute': 'black_feathers'}, {'object': 'bird', 'attribute': 'sharp_beak'}, {'object': 'chair', 'attribute': 'black'}], 'relations': [{'subject': 'bird', 'relation': 'standing_on', 'object': 'chair'}], 'count': [{'object': 'bird', 'number': 1}, {'object': 'chair', 'number': 1}], 'ocr_text': [], 'uncertain': []}",0.36915120482444763
p0103,seed_0,A green bottle is beside a white plate.,outputs/images/p0103/seed_0.png,True,1.0,1.0,1.0,,,1.0,[],"{'objects': ['bottle', 'plate'], 'attributes': [{'object': 'bottle', 'attribute': 'green'}, {'object': 'plate', 'attribute': 'white'}], 'relations': [{'subject': 'bottle', 'relation': 'left_of', 'object': 'plate'}], 'count': [{'object': 'bottle', 'number': 1}, {'object': 'plate', 'number': 1}], 'ocr_text': [], 'uncertain': []}",0.3176652193069458
p0103,seed_1,A green bottle is beside a white plate.,outputs/images/p0103/seed_1.png,True,0.5,0.0,0.0,,,0.16666666666666666,"['missing object: plate', 'attribute mismatch: bottle should be green', 'attribute mismatch: plate should be white', 'relation mismatch: bottle beside plate']","{'objects': ['bottle'], 'attributes': [{'object': 'bottle', 'attribute': 'color', 'value': 'green'}, {'object': 'bottle', 'attribute': 'shape', 'value': 'cylindrical'}], 'relations': [{'subject': 'bottle', 'relation': 'left_of', 'object': 'bottle'}, {'subject': 'bottle', 'relation': 'right_of', 'object': 'bottle'}], 'count': [{'object': 'bottle', 'number': 2}], 'ocr_text': [], 'uncertain': []}",0.35199642181396484
p0103,seed_2,A green bottle is beside a white plate.,outputs/images/p0103/seed_2.png,True,1.0,0.0,0.0,,,0.3333333333333333,"['attribute mismatch: bottle should be green', 'attribute mismatch: plate should be white', 'relation mismatch: bottle beside plate']","{'objects': ['bottle', 'plate', 'table'], 'attributes': [{'object': 'bottle', 'attribute': 'color', 'value': 'green'}, {'object': 'bottle', 'attribute': 'shape', 'value': 'tall and slender'}, {'object': 'bottle', 'attribute': 'top', 'value': 'gold cap'}, {'object': 'plate', 'attribute': 'color', 'value': 'white'}, {'object': 'plate', 'attribute': 'shape', 'value': 'round'}, {'object': 'table', 'attribute': 'material', 'value': 'wooden'}], 'relations': [{'subject': 'bottle', 'relation': 'on', 'object': 'plate'}, {'subject': 'plate', 'relation': 'on', 'object': 'table'}], 'count': [{'object': 'bottle', 'number': 1}, {'object': 'plate', 'number': 1}, {'object': 'table', 'number': 1}], 'ocr_text': ['LUCIUS'], 'uncertain': []}",0.31278154253959656
p0103,seed_3,A green bottle is beside a white plate.,outputs/images/p0103/seed_3.png,True,1.0,1.0,1.0,,,1.0,[],"{'objects': ['bottle', 'plate', 'cup', 'bowl'], 'attributes': [{'object': 'bottle', 'attribute': 'green'}, {'object': 'plate', 'attribute': 'white'}, {'object': 'cup', 'attribute': 'white'}, {'object': 'bowl', 'attribute': 'white'}], 'relations': [{'subject': 'bottle', 'relation': 'left_of', 'object': 'plate'}, {'subject': 'plate', 'relation': 'under', 'object': 'bottle'}, {'subject': 'cup', 'relation': 'right_of', 'object': 'bottle'}, {'subject': 'bowl', 'relation': 'right_of', 'object': 'cup'}], 'count': [{'object': 'plate', 'number': 4}, {'object': 'cup', 'number': 1}, {'object': 'bowl', 'number': 1}], 'ocr_text': [], 'uncertain': []}",0.3489970862865448
p0104,seed_0,A purple hat is on a brown table.,outputs/images/p0104/seed_0.png,True,0.5,0.0,0.0,,,0.16666666666666666,"['missing object: table', 'attribute mismatch: hat should be purple', 'attribute mismatch: table should be brown', 'relation mismatch: hat on table']","{'objects': ['hat'], 'attributes': [{'object': 'hat', 'attribute': 'color', 'value': 'purple'}, {'object': 'hat', 'attribute': 'shape', 'value': 'wide-brimmed'}], 'relations': [{'subject': 'hat', 'relation': 'on', 'object': 'floor'}], 'count': [{'object': 'hat', 'number': 1}], 'ocr_text': [], 'uncertain': []}",0.35481739044189453
p0104,seed_1,A purple hat is on a brown table.,outputs/images/p0104/seed_1.png,True,0.5,0.0,1.0,,,0.5,"['missing object: table', 'attribute mismatch: hat should be purple', 'attribute mismatch: table should be brown']","{'objects': ['hat'], 'attributes': [{'object': 'hat', 'attribute': 'color', 'value': 'purple'}, {'object': 'hat', 'attribute': 'band', 'value': 'black'}], 'relations': [{'subject': 'hat', 'relation': 'on', 'object': 'table'}], 'count': [{'object': 'hat', 'number': 1}], 'ocr_text': [], 'uncertain': []}",0.3510640263557434
